iter	Passed	Remaining
0	0	973
1	1	833
2	2	768
3	3	747
4	3	792
5	4	802
6	5	784
7	6	763
8	6	743
9	7	739
10	8	724
11	8	715
12	9	717
13	10	725
14	11	727
15	11	728
16	12	733
17	13	731
18	14	729
19	14	730
20	15	736
21	16	753
22	18	765
23	18	762
24	19	756
25	20	757
26	20	752
27	21	747
28	22	748
29	24	778
30	24	776
31	25	775
32	26	780
33	27	776
34	27	771
35	28	771
36	29	778
37	30	776
38	31	772
39	32	769
40	32	767
41	33	763
42	34	760
43	35	762
44	35	760
45	36	758
46	37	756
47	38	754
48	38	752
49	39	749
50	40	750
51	41	751
52	42	759
53	43	755
54	43	754
55	44	751
56	45	749
57	46	747
58	46	745
59	47	751
60	48	751
61	49	748
62	50	746
63	50	744
64	51	744
65	52	742
66	53	739
67	54	748
68	55	752
69	56	749
70	57	748
71	58	748
72	58	748
73	60	762
74	61	764
75	62	762
76	63	759
77	63	756
78	64	753
79	65	750
80	66	750
81	66	748
82	67	746
83	68	747
84	69	745
85	69	743
86	70	744
87	71	742
88	72	740
89	73	741
90	74	741
91	74	738
92	75	735
93	76	733
94	76	731
95	77	728
96	77	723
97	78	720
98	79	719
99	79	718
100	80	717
101	81	716
102	82	715
103	83	715
104	83	711
105	84	709
106	84	709
107	85	710
108	86	709
109	87	707
110	87	704
111	88	702
112	89	699
113	89	697
114	90	695
115	91	693
116	91	692
117	92	690
118	93	688
119	93	686
120	94	684
121	95	688
122	96	687
123	97	686
124	98	686
125	98	685
126	99	684
127	100	682
128	100	680
129	101	678
130	102	676
131	102	674
132	103	673
133	104	675
134	105	673
135	105	671
136	106	669
137	106	668
138	107	665
139	108	664
140	109	664
141	110	670
142	111	669
143	112	668
144	113	666
145	113	663
146	114	661
147	114	660
148	115	660
149	116	660
150	117	658
151	117	657
152	118	655
153	119	654
154	119	652
155	120	650
156	120	649
157	121	648
158	122	649
159	123	648
160	124	647
161	124	645
162	125	644
163	126	643
164	126	642
165	127	641
166	128	640
167	129	639
168	129	637
169	130	637
170	131	636
171	131	635
172	132	632
173	132	630
174	133	630
175	134	630
176	135	629
177	135	627
178	136	627
179	137	626
180	138	624
181	138	623
182	139	621
183	140	621
184	141	621
185	141	620
186	142	619
187	143	618
188	143	616
189	144	615
190	145	614
191	145	613
192	146	613
193	147	613
194	148	611
195	148	609
196	149	608
197	149	606
